heldout_fold,source_fp,flood_bin,n_tiles,mean_flood_fraction,median_flood_fraction,min_flood_fraction,max_flood_fraction,total_valid_pixels,total_flood_pixels,total_flood_fraction,percent_tiles_within_fold
fp4,fp3,5-10%,27,0.07529230374159807,0.077880859375,0.05068033918359298,0.09691004806591898,1641901,125599,0.07649608593940804,0.046875
fp4,fp3,>50%,27,0.7363815064759818,0.6968779084524918,0.5069442320046499,0.9986722219678587,1428939,998297,0.6986281429788116,0.046875
fp4,fp5,1-5%,7,0.03052364779610112,0.03211163416274378,0.020782470703125,0.04004216572965045,458560,13996,0.030521632937892534,0.012152777777777778
fp4,fp5,10-25%,9,0.14590150299497834,0.14268912953826884,0.10067790399413705,0.2003936767578125,589582,86026,0.1459101532950463,0.015625
fp4,fp5,25-50%,14,0.33254963923767555,0.32930649489456265,0.2585538564844489,0.46732185981108426,915683,304551,0.3325943585280059,0.024305555555555556
fp4,fp5,5-10%,12,0.07945022659677188,0.07982635498046875,0.053741455078125,0.09923838886429891,786396,62479,0.07944979374259278,0.020833333333333332
fp4,fp5,>50%,17,0.7062615818775182,0.7012786865234375,0.5058306367910129,0.993865966796875,1113765,786627,0.7062773565339188,0.029513888888888888
fp4,fp6,1-5%,8,0.033133242327610425,0.03243472403509509,0.0207672119140625,0.046202777918760256,447601,14559,0.03252673698226769,0.013888888888888888
fp4,fp6,10-25%,15,0.1652959041002179,0.1653438749656583,0.10462633451957296,0.24009395424836602,807521,133713,0.16558454826561786,0.026041666666666668
fp4,fp6,25-50%,16,0.3468407992233003,0.3267091655452724,0.2566389249446438,0.4848730003663451,860200,298479,0.3469879097884213,0.027777777777777776
fp4,fp6,5-10%,13,0.07757496728959438,0.07934273737033751,0.05068033918359298,0.09691004806591898,789677,62793,0.07951732163910054,0.022569444444444444
fp4,fp6,>50%,22,0.767882093515506,0.7828462745544063,0.5069442320046499,0.9986722219678587,1119269,813785,0.7270682918940844,0.03819444444444445
fp4,fp7,0-1%,3,0.004941135929140497,0.004241943359375,0.0013956734124214933,0.009185791015625,132505,882,0.0066563525904682844,0.005208333333333333
fp4,fp7,1-5%,21,0.03034552083180138,0.029358358129243915,0.013275146484375,0.0487518310546875,1376247,41763,0.030345570235575447,0.036458333333333336
fp4,fp7,10-25%,19,0.16066343664188926,0.157257080078125,0.1002197265625,0.2376251220703125,1244753,200010,0.1606824807813277,0.03298611111111111
fp4,fp7,25-50%,21,0.36281258719308035,0.3536376953125,0.2541656494140625,0.4925384521484375,1376256,499323,0.36281258719308035,0.036458333333333336
fp4,fp7,5-10%,23,0.0682412688173704,0.064483642578125,0.050689697265625,0.0923004150390625,1506867,102834,0.06824358088670068,0.03993055555555555
fp4,fp7,>50%,7,0.6626979282924107,0.6575775146484375,0.514495849609375,0.858062744140625,458752,304014,0.6626979282924107,0.012152777777777778
fp5,fp1,0-1%,7,0.004350934709821429,0.0044403076171875,0.00030517578125,0.009246826171875,458752,1996,0.004350934709821429,0.010526315789473684
fp5,fp1,1-5%,27,0.0288185501554528,0.02642822265625,0.010009765625,0.049747579370559625,1768714,50967,0.028815851516977874,0.0406015037593985
fp5,fp1,10-25%,23,0.1486907905215573,0.13892449490325337,0.114715576171875,0.2269439697265625,1507297,224121,0.14869066945664988,0.03458646616541353
fp5,fp1,25-50%,9,0.38393517308744984,0.390151226137248,0.2627105712890625,0.4831837880730025,589801,226445,0.38393458132488756,0.013533834586466165
fp5,fp1,5-10%,35,0.07378929857016939,0.07195628281841494,0.05001907377737087,0.0993194580078125,2292725,169184,0.0737916671210023,0.05263157894736842
fp5,fp1,>50%,5,0.6344871512949963,0.6034393310546875,0.54779052734375,0.7626249523082793,327665,207898,0.6344833900477622,0.007518796992481203
fp5,fp2,0-1%,2,0.0021134942318833208,0.0021134942318833208,0.001359311282283643,0.0028676771814829987,4648,10,0.0021514629948364886,0.0030075187969924814
fp5,fp2,1-5%,20,0.029040565541313918,0.027116939508699908,0.0119781494140625,0.04818741764471547,1252902,36570,0.02918823658993281,0.03007518796992481
fp5,fp2,10-25%,31,0.15120343399061742,0.1472930908203125,0.10359246711229131,0.24791982715027813,2030609,306981,0.15117681444335174,0.04661654135338346
fp5,fp2,25-50%,25,0.3588917257741734,0.38109481587742455,0.2570953369140625,0.47250282296212653,1598029,577507,0.36138705868291504,0.03759398496240601
fp5,fp2,5-10%,14,0.06893140835612602,0.06719970703125,0.05106058293911186,0.08883527759115617,869741,60566,0.06963682291624748,0.021052631578947368
fp5,fp2,>50%,20,0.7325846994853976,0.6928573427530704,0.546539306640625,0.9493995391634749,1310583,960126,0.7325945781381263,0.03007518796992481
fp5,fp3,0-1%,5,0.004800346568599905,0.0043782837127845885,0.001359311282283643,0.008346684977492943,89823,668,0.0074368480233347805,0.007518796992481203
fp5,fp3,1-5%,13,0.02859091368882013,0.024614820809601614,0.01584297444976953,0.046202777918760256,717888,20070,0.027957007221182134,0.019548872180451128
fp5,fp3,10-25%,28,0.17112988672947022,0.17420027838567104,0.10053015140635264,0.24085496183206107,1652470,283905,0.17180644731825692,0.042105263157894736
fp5,fp3,25-50%,32,0.3666145337682802,0.3681113747429893,0.2586436691493532,0.4848730003663451,1868429,693141,0.37097529528818063,0.0481203007518797
fp5,fp3,5-10%,24,0.07396700770676005,0.07600630252163479,0.05068033918359298,0.09691004806591898,1462519,110354,0.07545474622893789,0.03609022556390978
fp5,fp3,>50%,32,0.7427240874202574,0.7220234657432372,0.5106658935546875,0.9878510256920932,1542806,1070079,0.693592713536245,0.0481203007518797
fp5,fp4,0-1%,5,0.007394262986366029,0.008396794508373811,0.002999555621389424,0.009731567903914334,212162,1586,0.00747541972643546,0.007518796992481203
fp5,fp4,1-5%,18,0.03003311390672582,0.028583669605508684,0.010988603036715299,0.049808897722060846,985597,31170,0.03162550210684489,0.02706766917293233
fp5,fp4,10-25%,19,0.16565251634830075,0.15562184814262375,0.10871360411059457,0.23330782182764426,1131548,187127,0.16537256925910346,0.02857142857142857
fp5,fp4,25-50%,15,0.3695672684229091,0.37103644107903455,0.2506382913666315,0.49413254795440326,874623,326271,0.3730418706116807,0.022556390977443608
fp5,fp4,5-10%,14,0.07150145417415298,0.06561675443211026,0.05382466531316308,0.08975524475524475,840947,59823,0.07113765790234106,0.021052631578947368
fp5,fp4,>50%,5,0.6573401060027123,0.6265117273393599,0.5885832868735675,0.8133251833740831,325907,214295,0.6575342045430138,0.007518796992481203
fp5,fp6,0-1%,7,0.006914196333367155,0.007049775688955351,0.002999555621389424,0.009731567903914334,231802,1697,0.007320903184614456,0.010526315789473684
fp5,fp6,1-5%,24,0.030835174368403342,0.028583669605508684,0.010988603036715299,0.049808897722060846,1302156,41430,0.031816464386755505,0.03609022556390978
fp5,fp6,10-25%,31,0.16377082633567933,0.15562184814262375,0.10462633451957296,0.24009395424836602,1736264,283613,0.16334670303594384,0.04661654135338346
fp5,fp6,25-50%,30,0.3658103117530675,0.36921224697338684,0.2506382913666315,0.48618395901827355,1669421,617011,0.36959580597105224,0.045112781954887216
